"LOCATION","Country","TYPE_VAR","Type of indicator","VARIABLE","Indicator","WB","Current/Future Well-being","SEX","Sex","AGE","Age","EDUCATION","Education","TIME","Time","Value","Flag Codes","Flags"
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",8.7826783203236,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",7.36168340140483,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",7.80935935685591,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",9.66836923767598,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",7.43757299088591,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",9.78246458437694,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",9.613007007233,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",10.3138000337344,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",7.89643274909245,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",9.61086410709104,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",8.3171867546636,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2020","2020",6.24965592180241,,
"USA","United States","DEP","Deprivation","7_1","Social support","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2021","2021",7.99549454300808,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2004","2004",80.9877693550178,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",80.4931837424464,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2006","2006",80.7759719267923,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2007","2007",80.7831142958382,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2008","2008",80.7293570353485,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2009","2009",80.8317171756182,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",81.0609058436526,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",81.5050169125846,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",82.0611250550408,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",81.5553013804794,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",81.879845946498,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",82.1220600942408,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",82.0871035715189,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",82.2518279105824,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",82.3566962732179,,
"USA","United States","AVERAGE","Average","3_2","Housing affordability","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",82.2780114511189,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2005","2005",67.64846,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2010","2010",35.74175,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2011","2011",37.15361,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2012","2012",25.4694,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2013","2013",21.47404,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2014","2014",16.54669,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2015","2015",12.30552,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2016","2016",3.66458,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2017","2017",6.75398,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2018","2018",6.85406,,
"USA","United States","DEP","Deprivation","9_2","Air pollution","CWB","Current Well-being","TOT","Total population","TOT","Total population","TOT","Total population","2019","2019",5.61257,,
